vendor_id,vendor_name,parent_company_group,country,city,account_group,payment_terms_key,is_active
0000100091,Aravali Manufacturing Co (0091),,IN,Ahmedabad,ZDOM,ZN90,false
0000100092,Cauvery Trading Co,,IN,Chennai,ZIMP,ZN45,true
0000100093,Konkan Overseas Pvt Ltd,,IN,New Delhi,ZIMP,ZN30,true
0000100094,Shree Balaji Trading Co,,AU,Perth,ZIMP,ZN30,true
0000100095,Godavari Manufacturing Co,,IN,Pune,ZDOM,ZN30,true
0000100096,Krishna Industries,,IN,Korba,ZDOM,ZN30,true
0000100097,Sterling Industrial Corporation (0097),,IN,Pune,ZSER,ZN60,true
0000100098,Mewar Industries,,IN,Bhilwara,ZDOM,ZN30,true
0000100099,Mewar Overseas Pvt Ltd (0099),,IN,Udaipur,ZDOM,ZN90,false
0000100100,Bharat Fabricators,,IN,Chennai,ZDOM,ZN30,true
0000100101,Sahyadri Technologies Pvt Ltd,,IN,Mumbai,ZDOM,ZN30,false
0000100102,Yamuna Industrial Corporation,,DE,Essen,ZIMP,ZN90,true
0000100103,Ganga Technologies Pvt Ltd,,IN,Jharsuguda,ZDOM,ZN60,true
0000100104,Vindhya Equipment Ltd,,IN,Jaipur,ZDOM,ZN90,true
0000100105,Ganga Equipment Ltd,,US,Houston,ZIMP,ZN45,true
0000100106,Chambal Equipment Ltd,,IN,New Delhi,ZDOM,ZN90,false
0000100107,Om Sai Enterprises,,IN,Jaipur,ZIMP,ZN30,true
0000100108,Malwa Fabricators,,IN,Nagpur,ZDOM,ZN60,true
0000100109,Mewar Suppliers Pvt Ltd,,IN,Nagpur,ZDOM,ZN30,true
0000100110,Godavari Enterprises,,IN,Jaipur,ZDOM,ZN45,true
0000100111,Apex Trading Co,METSO-GRP,IN,New Delhi,ZIMP,ZN60,true
0000100112,Cauvery Trading Co (0112),SCHNEIDER-GRP,IN,Jharsuguda,ZDOM,ZN90,true
0000100113,Vindhya Engineering Works (0113),,IN,Mumbai,ZDOM,ZN30,true
0000100114,Yamuna Equipment Ltd,,IN,Kolkata,ZDOM,ZN90,true
0000100115,Mewar Equipment Ltd,,IN,Bhilwara,ZDOM,ZN90,true
0000100116,Deccan Industries,,IN,Visakhapatnam,ZSER,ZN60,true
0000100117,Yamuna Suppliers Pvt Ltd,WEIR-GRP,IN,Ahmedabad,ZDOM,ZN60,true
0000100118,Malwa Suppliers Pvt Ltd,,IN,Udaipur,ZDOM,ZN60,true
0000100119,Godavari Manufacturing Co (0119),FLS-GRP,IN,Jharsuguda,ZDOM,ZN30,true
0000100120,Cauvery Trading Co (0120),,IN,Hyderabad,ZDOM,ZN30,true
0000100121,Satpura Overseas Pvt Ltd,,IN,Nagpur,ZDOM,ZN45,true
0000100122,Precision Equipment Ltd,,KR,Seoul,ZIMP,ZN45,false
0000100123,Satpura Enterprises,,CN,Shenzhen,ZIMP,ZN90,true
0000100124,Konkan Trading Co (0124),,IN,Kolkata,ZDOM,ZN60,true
0000100125,Hind Industrial Corporation,,IN,Jharsuguda,ZIMP,ZN60,true
0000100126,Marwar Equipment Ltd,,IN,Bhilwara,ZSER,ZN45,true
0000100127,Desert Enterprises (0127),METSO-GRP,IN,Korba,ZDOM,ZN30,true
0000100128,Sahyadri Industries,,IN,Bengaluru,ZIMP,ZN60,true
0000100129,Nilgiri Enterprises,,IN,Chennai,ZDOM,ZN90,true
0000100130,Marwar Industries,,IN,Hyderabad,ZDOM,ZN90,true
0000100131,Deccan Enterprises,,IN,Visakhapatnam,ZDOM,ZN45,true
0000100132,Nilgiri Industrial Corporation,,IN,Bengaluru,ZDOM,ZN45,true
0000100133,Desert Fabricators,,IN,Hyderabad,ZIMP,ZN45,true
0000100134,Nilgiri Equipment Ltd (0134),,IN,Kolkata,ZDOM,ZN45,true
0000100135,Krishna Equipment Ltd,,IN,Hyderabad,ZDOM,ZN45,true
0000100136,Rajasthan Trading Co,ABB-GRP,IN,Nagpur,ZSER,ZN60,true
0000100137,Sterling Overseas Pvt Ltd,,KR,Seoul,ZIMP,ZN60,false
0000100138,Aravali Suppliers Pvt Ltd,,US,Houston,ZIMP,ZN45,true
0000100139,Satpura Manufacturing Co,TATA-GRP,IN,Bhilwara,ZDOM,ZN45,true
0000100140,Narmada Industries (0140),SANDVIK-GRP,IN,Jharsuguda,ZSER,ZN30,true
0000100141,Satpura Industrial Corporation,ABB-GRP,IN,Tuticorin,ZSER,ZN60,true
0000100142,Nilgiri Equipment Ltd (0142),,US,Chicago,ZIMP,ZN45,true
0000100143,Deccan Overseas Pvt Ltd (0143),,IN,Pune,ZDOM,ZN60,true
0000100144,Sterling Manufacturing Co,,IN,Bhilwara,ZIMP,ZN60,true
0000100145,Satpura Trading Co,,IN,Ahmedabad,ZDOM,ZN30,true
0000100146,Aravali Industries,,IN,Pune,ZDOM,ZN90,true
0000100147,Vindhyachal Industrial Corporation,,IN,Jaipur,ZDOM,ZN45,true
0000100148,Shree Balaji Enterprises,WEIR-GRP,IN,Tuticorin,ZDOM,ZN90,true
0000100149,Krishna Equipment Ltd (0149),,IN,Korba,ZDOM,ZN90,true
0000100150,Konkan Trading Co (0150),,IN,Kolkata,ZDOM,ZN60,true
0000100151,National Industrial Corporation,,IN,Nagpur,ZDOM,ZN45,true
0000100152,Coastal Manufacturing Co,FLS-GRP,IN,Mumbai,ZIMP,ZN30,true
0000100153,Precision Engineering Works,,IN,New Delhi,ZIMP,ZN60,true
0000100154,National Trading Co,,IN,Bhilwara,ZDOM,ZN90,true
0000100155,Narmada Technologies Pvt Ltd,,US,Chicago,ZIMP,ZN30,true
0000100156,Cauvery Fabricators,,JP,Osaka,ZIMP,ZN90,true
0000100157,Vindhyachal Suppliers Pvt Ltd (0157),,IN,Udaipur,ZSER,ZN60,true
0000100158,Apex Fabricators,,IN,Korba,ZSER,ZN45,true
0000100159,Cauvery Equipment Ltd,,IN,Ahmedabad,ZDOM,ZN45,true
0000100160,Deccan Fabricators,,IN,Bhilwara,ZDOM,ZN90,false
