po_number,po_item,po_date,vendor_id,vendor_name,parent_company_group,category_code,category_name,category_l1,category_l2,plant_code,plant_name,region,net_value_inr,quantity,unit,currency,doc_type,contract_number,is_deleted
4500000015,10,2025-12-18,0000100114,Yamuna Equipment Ltd,,M037,Electricity Purchase,Fuel & Energy,Electricity Purchase,VAL1,Vedanta Aluminium,Odisha,31468099,422,MT,INR,NB,46000036,false
4500000015,20,2025-12-18,0000100142,Nilgiri Equipment Ltd (0142),,M021,Shutdown Maintenance Contractors,Services,Shutdown Maintenance Contractors,VAL1,Vedanta Aluminium,Odisha,4504693,27,LOT,INR,UB,46000037,false
4500000015,30,2025-12-18,0000100140,Narmada Industries (0140),SANDVIK-GRP,M012,Flotation Cells,MRO & Spares,Flotation Cells,VAL1,Vedanta Aluminium,Odisha,3963755,22,EA,INR,NB,46000038,false
4500000015,40,2025-12-18,0000100158,Apex Fabricators,,M005,Alumina,Raw Materials,Alumina,VAL1,Vedanta Aluminium,Odisha,23682243,96,MT,INR,NB,46000039,false
4500000015,50,2025-12-18,0000100094,Shree Balaji Trading Co,,M023,Civil Works,Services,Civil Works,VAL1,Vedanta Aluminium,Odisha,3117474,19,LOT,USD,NB,46000040,false
4500000016,10,2025-01-01,0000100136,Rajasthan Trading Co,ABB-GRP,M008,Seals & Gaskets,MRO & Spares,Seals & Gaskets,COG1,Cairn Oil & Gas,Rajasthan,20000000,16,SET,INR,FO,,false
4500000016,20,2025-01-01,0000100135,Krishna Equipment Ltd,,M048,Fire Safety Equipment,Safety & PPE,Fire Safety Equipment,COG1,Cairn Oil & Gas,Rajasthan,331310,43,EA,INR,NB,,false
4500000016,30,2025-01-01,0000100098,Mewar Industries,,M009,Pumps,MRO & Spares,Pumps,COG1,Cairn Oil & Gas,Rajasthan,4164158,16,SET,INR,NB,,false
4500000016,40,2025-01-01,0000100057,Sterling Equipment Ltd,CATERPILLAR-GRP,M045,Network Services,IT & Telecom,Network Services,COG1,Cairn Oil & Gas,Rajasthan,6211734,4,LOT,INR,NB,46000041,false
4500000017,10,2024-03-26,0000100128,Sahyadri Industries,,M048,Fire Safety Equipment,Safety & PPE,Fire Safety Equipment,VAL1,Vedanta Aluminium,Odisha,760075,14,EA,USD,MK,46000042,false
4500000018,10,2024-08-26,0000100063,Rajasthan Overseas Pvt Ltd,,M001,Zinc Concentrate,Raw Materials,Zinc Concentrate,VAL1,Vedanta Aluminium,Odisha,35481774,59,MT,INR,NB,,false
4500000018,20,2024-08-26,0000100131,Deccan Enterprises,,M054,Construction Services,Civil & Construction,Construction Services,VAL1,Vedanta Aluminium,Odisha,7638044,6,EA,INR,NB,,false
4500000019,10,2024-09-18,0000100022,Indian Oil Corporation Ltd,,M034,Diesel,Fuel & Energy,Diesel,STC1,Sterlite Copper,Tamil Nadu,37922304,376,L,INR,NB,,false
4500000019,20,2024-09-18,0000100014,Kirloskar Brothers Ltd,,M041,Port Handling,Logistics & Transport,Port Handling,STC1,Sterlite Copper,Tamil Nadu,10585570,50,LOT,INR,NB,46000044,false
4500000019,30,2024-09-18,0000100100,Bharat Fabricators,,M057,Switchgear,Electrical,Switchgear,STC1,Sterlite Copper,Tamil Nadu,12680721,22,EA,INR,MK,46000022,false
4500000019,40,2024-09-18,0000100060,Precision Manufacturing Co,,M054,Construction Services,Civil & Construction,Construction Services,STC1,Sterlite Copper,Tamil Nadu,9179846,182,MT,USD,FO,46000045,false
4500000020,10,2023-10-31,0000100095,Godavari Manufacturing Co,,M036,Petroleum Coke,Fuel & Energy,Petroleum Coke,HZL1,Hindustan Zinc,Rajasthan,13159466,164,MT,INR,MK,46000046,false
4500000020,20,2023-10-31,0000100066,Apex Overseas Pvt Ltd,,M013,Crusher Parts,MRO & Spares,Crusher Parts,HZL1,Hindustan Zinc,Rajasthan,264941,32,SET,EUR,NB,46000047,false
4500000020,30,2023-10-31,0000100059,Deccan Suppliers Pvt Ltd,,M041,Port Handling,Logistics & Transport,Port Handling,HZL1,Hindustan Zinc,Rajasthan,1861067,43,LOT,INR,NB,46000048,false
4500000020,40,2023-10-31,0000100091,Aravali Manufacturing Co (0091),,M022,Logistics Services,Services,Logistics Services,HZL1,Hindustan Zinc,Rajasthan,53416555,5,LOT,INR,NB,46000049,false
4500000020,50,2023-10-31,0000100065,Vindhyachal Engineering Works,,M050,Safety Footwear,Safety & PPE,Safety Footwear,HZL1,Hindustan Zinc,Rajasthan,1354499,36,EA,INR,NB,46000050,false
4500000021,10,2023-01-29,0000100091,Aravali Manufacturing Co (0091),,M051,Cement,Civil & Construction,Cement,VAL1,Vedanta Aluminium,Odisha,29156119,334,MT,INR,NB,,false
4500000021,20,2023-01-29,0000100048,Sahyadri Trading Co,,M038,Natural Gas,Fuel & Energy,Natural Gas,VAL1,Vedanta Aluminium,Odisha,15613730,397,MT,EUR,MK,,false
4500000022,10,2025-11-21,0000100157,Vindhyachal Suppliers Pvt Ltd (0157),,M042,Shipping & Freight Forwarding,Logistics & Transport,Shipping & Freight Forwarding,COG1,Cairn Oil & Gas,Rajasthan,7016933,18,LOT,INR,NB,46000051,false
4500000022,20,2025-11-21,0000100092,Cauvery Trading Co,,M038,Natural Gas,Fuel & Energy,Natural Gas,COG1,Cairn Oil & Gas,Rajasthan,34423818,176,L,INR,NB,46000052,false
4500000022,30,2025-11-21,0000100101,Sahyadri Technologies Pvt Ltd,,M031,Lime,Chemicals & Reagents,Lime,COG1,Cairn Oil & Gas,Rajasthan,1891424,492,MT,INR,NB,,false
4500000022,40,2025-11-21,0000100137,Sterling Overseas Pvt Ltd,,M014,Motor Spares,MRO & Spares,Motor Spares,COG1,Cairn Oil & Gas,Rajasthan,1731649,15,EA,INR,FO,,false
4500000022,50,2025-11-21,0000100125,Hind Industrial Corporation,,M038,Natural Gas,Fuel & Energy,Natural Gas,COG1,Cairn Oil & Gas,Rajasthan,17918349,171,L,INR,NB,,false
4500000023,10,2025-05-10,0000100045,Godavari Industrial Corporation,METSO-GRP,M022,Logistics Services,Services,Logistics Services,BAL1,BALCO,Chhattisgarh,14201115,22,LOT,INR,FO,46000054,false
4500000023,20,2025-05-10,0000100121,Satpura Overseas Pvt Ltd,,M050,Safety Footwear,Safety & PPE,Safety Footwear,BAL1,BALCO,Chhattisgarh,422261,32,EA,INR,NB,46000055,false
4500000024,10,2024-08-17,0000100003,Thermax Ltd,,M012,Flotation Cells,MRO & Spares,Flotation Cells,HZL1,Hindustan Zinc,Rajasthan,2125893,5,SET,INR,FO,46000056,false
4500000024,20,2024-08-17,0000100158,Apex Fabricators,,M009,Pumps,MRO & Spares,Pumps,HZL1,Hindustan Zinc,Rajasthan,6671597,3,SET,INR,MK,46000057,false
4500000024,30,2024-08-17,0000100109,Mewar Suppliers Pvt Ltd,,M027,Sodium Cyanide,Chemicals & Reagents,Sodium Cyanide,HZL1,Hindustan Zinc,Rajasthan,4591857,361,MT,INR,NB,46000058,false
4500000024,40,2024-08-17,0000100104,Vindhya Equipment Ltd,,M011,Grinding Media,MRO & Spares,Grinding Media,HZL1,Hindustan Zinc,Rajasthan,1236206,34,EA,INR,NB,46000059,false
4500000024,50,2024-08-17,0000100089,Nilgiri Equipment Ltd,,M029,Frothers,Chemicals & Reagents,Frothers,HZL1,Hindustan Zinc,Rajasthan,19093796,322,KG,INR,NB,46000060,false
4500000025,10,2024-05-02,0000100004,ABB India Ltd,ADANI-GRP,M013,Crusher Parts,MRO & Spares,Crusher Parts,VAL1,Vedanta Aluminium,Odisha,11542307,39,EA,INR,NB,,false
4500000026,10,2024-05-16,0000100106,Chambal Equipment Ltd,,M050,Safety Footwear,Safety & PPE,Safety Footwear,BAL1,BALCO,Chhattisgarh,774174,4,EA,INR,UB,46000061,false
4500000026,20,2024-05-16,0000100126,Marwar Equipment Ltd,,M029,Frothers,Chemicals & Reagents,Frothers,BAL1,BALCO,Chhattisgarh,8837914,360,MT,INR,NB,46000062,false
4500000027,10,2025-09-29,0000100094,Shree Balaji Trading Co,,M012,Flotation Cells,MRO & Spares,Flotation Cells,IOD1,Iron Ore Division,Goa,4697556,40,SET,EUR,NB,46000063,false
4500000027,20,2025-09-29,0000100126,Marwar Equipment Ltd,,M050,Safety Footwear,Safety & PPE,Safety Footwear,IOD1,Iron Ore Division,Goa,4223679,36,EA,INR,FO,46000064,false
4500000027,30,2025-09-29,0000100019,UltraTech Cement Ltd,,M028,Xanthate Collectors,Chemicals & Reagents,Xanthate Collectors,IOD1,Iron Ore Division,Goa,32509377,346,KG,INR,NB,46000065,false
4500000027,40,2025-09-29,0000100067,National Enterprises,,M056,Transformers,Electrical,Transformers,IOD1,Iron Ore Division,Goa,9772076,22,EA,INR,NB,46000066,false
4500000027,50,2025-09-29,0000100137,Sterling Overseas Pvt Ltd,,M037,Electricity Purchase,Fuel & Energy,Electricity Purchase,IOD1,Iron Ore Division,Goa,24695443,325,L,INR,NB,46000067,false
4500000028,10,2023-11-04,0000100096,Krishna Industries,,M007,Bearings,MRO & Spares,Bearings,HZL1,Hindustan Zinc,Rajasthan,3661534,4,EA,INR,MK,46000068,false
4500000028,20,2023-11-04,0000100004,ABB India Ltd,ADANI-GRP,M032,Flocculants,Chemicals & Reagents,Flocculants,HZL1,Hindustan Zinc,Rajasthan,18189923,117,KG,INR,MK,,false
4500000029,10,2024-03-25,0000100050,Bharat Overseas Pvt Ltd,,M053,Ready Mix Concrete,Civil & Construction,Ready Mix Concrete,STC1,Sterlite Copper,Tamil Nadu,56339152,61,MT,INR,FO,46000070,false
4500000029,20,2024-03-25,0000100118,Malwa Suppliers Pvt Ltd,,M005,Alumina,Raw Materials,Alumina,STC1,Sterlite Copper,Tamil Nadu,17115644,452,MT,INR,MK,46000071,false
4500000029,30,2024-03-25,0000100051,Orient Equipment Ltd,ABB-GRP,M024,Consulting Services,Services,Consulting Services,STC1,Sterlite Copper,Tamil Nadu,21755924,2,LOT,INR,NB,46000072,false
4500000030,10,2024-11-25,0000100148,Shree Balaji Enterprises,WEIR-GRP,M042,Shipping & Freight Forwarding,Logistics & Transport,Shipping & Freight Forwarding,COG1,Cairn Oil & Gas,Rajasthan,3963967,36,LOT,INR,NB,46000073,false
4500000030,20,2024-11-25,0000100136,Rajasthan Trading Co,ABB-GRP,M041,Port Handling,Logistics & Transport,Port Handling,COG1,Cairn Oil & Gas,Rajasthan,11207865,1,LOT,INR,NB,46000074,false
4500000030,30,2024-11-25,0000100096,Krishna Industries,,M050,Safety Footwear,Safety & PPE,Safety Footwear,COG1,Cairn Oil & Gas,Rajasthan,287376,12,EA,INR,NB,46000075,false
4500000031,10,2025-07-07,0000100121,Satpura Overseas Pvt Ltd,,M008,Seals & Gaskets,MRO & Spares,Seals & Gaskets,STC1,Sterlite Copper,Tamil Nadu,3111970,35,EA,INR,NB,46000076,false
4500000031,20,2025-07-07,0000100132,Nilgiri Industrial Corporation,,M012,Flotation Cells,MRO & Spares,Flotation Cells,STC1,Sterlite Copper,Tamil Nadu,11601326,27,SET,INR,FO,46000077,false
4500000031,30,2025-07-07,0000100073,Cauvery Manufacturing Co,,M050,Safety Footwear,Safety & PPE,Safety Footwear,STC1,Sterlite Copper,Tamil Nadu,1244202,16,EA,INR,FO,46000078,false
4500000031,40,2025-07-07,0000100107,Om Sai Enterprises,,M008,Seals & Gaskets,MRO & Spares,Seals & Gaskets,STC1,Sterlite Copper,Tamil Nadu,11069539,7,SET,EUR,NB,46000079,false
4500000032,10,2023-07-18,0000100156,Cauvery Fabricators,,M006,Iron Ore Fines,Raw Materials,Iron Ore Fines,HZL1,Hindustan Zinc,Rajasthan,65153647,253,MT,INR,NB,,false
4500000032,20,2023-07-18,0000100121,Satpura Overseas Pvt Ltd,,M007,Bearings,MRO & Spares,Bearings,HZL1,Hindustan Zinc,Rajasthan,1866989,17,SET,INR,MK,,false
4500000032,30,2023-07-18,0000100023,Bharat Petroleum Corporation Ltd,SIEMENS-GRP,M027,Sodium Cyanide,Chemicals & Reagents,Sodium Cyanide,HZL1,Hindustan Zinc,Rajasthan,4011330,114,L,INR,NB,,false
4500000032,40,2023-07-18,0000100134,Nilgiri Equipment Ltd (0134),,M041,Port Handling,Logistics & Transport,Port Handling,HZL1,Hindustan Zinc,Rajasthan,26047687,22,LOT,INR,FO,46000082,false
4500000033,10,2023-01-21,0000100041,Shree Balaji Manufacturing Co,,M004,Bauxite,Raw Materials,Bauxite,STC1,Sterlite Copper,Tamil Nadu,56827665,336,MT,INR,NB,46000083,false
4500000033,20,2023-01-21,0000100022,Indian Oil Corporation Ltd,,M002,Lead Concentrate,Raw Materials,Lead Concentrate,STC1,Sterlite Copper,Tamil Nadu,27899041,426,MT,INR,NB,46000084,false
4500000033,30,2023-01-21,0000100004,ABB India Ltd,ADANI-GRP,M001,Zinc Concentrate,Raw Materials,Zinc Concentrate,STC1,Sterlite Copper,Tamil Nadu,35447230,447,MT,INR,NB,46000085,false
4500000033,40,2023-01-21,0000100015,Voltas Ltd,,M011,Grinding Media,MRO & Spares,Grinding Media,STC1,Sterlite Copper,Tamil Nadu,2562591,46,EA,INR,FO,,false
4500000033,50,2023-01-21,0000100049,Vindhya Engineering Works,,M014,Motor Spares,MRO & Spares,Motor Spares,STC1,Sterlite Copper,Tamil Nadu,1038358,7,SET,USD,MK,,false
4500000034,10,2025-04-15,0000100002,Larsen & Toubro Ltd,,M042,Shipping & Freight Forwarding,Logistics & Transport,Shipping & Freight Forwarding,COG1,Cairn Oil & Gas,Rajasthan,3251561,45,LOT,INR,NB,46000086,false
4500000034,20,2025-04-15,0000100131,Deccan Enterprises,,M014,Motor Spares,MRO & Spares,Motor Spares,COG1,Cairn Oil & Gas,Rajasthan,19970981,42,EA,INR,NB,46000087,false
4500000034,30,2025-04-15,0000100045,Godavari Industrial Corporation,METSO-GRP,M003,Copper Concentrate,Raw Materials,Copper Concentrate,COG1,Cairn Oil & Gas,Rajasthan,122264738,4,MT,INR,UB,46000088,false
4500000034,40,2025-04-15,0000100017,JSW Steel Ltd,,M048,Fire Safety Equipment,Safety & PPE,Fire Safety Equipment,COG1,Cairn Oil & Gas,Rajasthan,899694,26,EA,INR,NB,,false
4500000034,50,2025-04-15,0000100106,Chambal Equipment Ltd,,M034,Diesel,Fuel & Energy,Diesel,COG1,Cairn Oil & Gas,Rajasthan,42014825,340,MT,INR,NB,,false
4500000035,10,2025-05-10,0000100046,Rajasthan Industrial Corporation,,M048,Fire Safety Equipment,Safety & PPE,Fire Safety Equipment,HZL1,Hindustan Zinc,Rajasthan,1571291,27,EA,INR,NB,46000089,false
4500000035,20,2025-05-10,0000100057,Sterling Equipment Ltd,CATERPILLAR-GRP,M034,Diesel,Fuel & Energy,Diesel,HZL1,Hindustan Zinc,Rajasthan,27825411,141,L,INR,MK,,false
4500000035,30,2025-05-10,0000100030,Tega Industries Ltd,,M001,Zinc Concentrate,Raw Materials,Zinc Concentrate,HZL1,Hindustan Zinc,Rajasthan,13777427,44,MT,INR,NB,,false
4500000035,40,2025-05-10,0000100109,Mewar Suppliers Pvt Ltd,,M008,Seals & Gaskets,MRO & Spares,Seals & Gaskets,HZL1,Hindustan Zinc,Rajasthan,2219270,28,EA,INR,NB,46000090,false
4500000035,50,2025-05-10,0000100020,Adani Ports & SEZ Ltd,CATERPILLAR-GRP,M041,Port Handling,Logistics & Transport,Port Handling,HZL1,Hindustan Zinc,Rajasthan,5759255,7,LOT,INR,NB,46000091,false
4500000036,10,2024-03-14,0000100113,Vindhya Engineering Works (0113),,M035,Furnace Oil,Fuel & Energy,Furnace Oil,COR1,Corporate / Shared Services,Maharashtra,29050216,467,L,INR,UB,,false
4500000036,20,2024-03-14,0000100024,GAIL India Ltd,,M062,PLC & DCS Systems,Instrumentation,PLC & DCS Systems,COR1,Corporate / Shared Services,Maharashtra,4653869,16,SET,INR,NB,,false
4500000036,30,2024-03-14,0000100063,Rajasthan Overseas Pvt Ltd,,M049,Gas Detectors,Safety & PPE,Gas Detectors,COR1,Corporate / Shared Services,Maharashtra,1969667,13,EA,INR,NB,46000092,false
4500000037,10,2025-08-30,0000100127,Desert Enterprises (0127),METSO-GRP,M003,Copper Concentrate,Raw Materials,Copper Concentrate,HZL1,Hindustan Zinc,Rajasthan,9668552,353,MT,INR,MK,46000093,false
4500000037,20,2025-08-30,0000100083,Deccan Technologies Pvt Ltd,,M013,Crusher Parts,MRO & Spares,Crusher Parts,HZL1,Hindustan Zinc,Rajasthan,985677,40,SET,INR,NB,,false
4500000037,30,2025-08-30,0000100084,Shree Balaji Fabricators,,M058,VFDs & Drives,Electrical,VFDs & Drives,HZL1,Hindustan Zinc,Rajasthan,19906164,1,SET,INR,NB,46000094,false
4500000037,40,2025-08-30,0000100102,Yamuna Industrial Corporation,,M012,Flotation Cells,MRO & Spares,Flotation Cells,HZL1,Hindustan Zinc,Rajasthan,3667851,20,EA,INR,NB,46000095,false
4500000037,50,2025-08-30,0000100136,Rajasthan Trading Co,ABB-GRP,M014,Motor Spares,MRO & Spares,Motor Spares,HZL1,Hindustan Zinc,Rajasthan,1680593,16,SET,INR,NB,46000096,false
4500000038,10,2023-02-08,0000100116,Deccan Industries,,M009,Pumps,MRO & Spares,Pumps,STC1,Sterlite Copper,Tamil Nadu,5369881,30,SET,INR,MK,46000097,false
4500000039,10,2023-07-23,0000100041,Shree Balaji Manufacturing Co,,M013,Crusher Parts,MRO & Spares,Crusher Parts,COG1,Cairn Oil & Gas,Rajasthan,1787416,26,EA,INR,NB,46000098,false
4500000039,20,2023-07-23,0000100072,Krishna Engineering Works,,M003,Copper Concentrate,Raw Materials,Copper Concentrate,COG1,Cairn Oil & Gas,Rajasthan,31179006,74,MT,USD,NB,46000099,false
