material_number,material_description,material_type,category_code
0000100121,Iron Ore Lumps 55% Pb,ROH,006
0000100122,Silico Manganese 55% Pb,ROH,006
0000100123,Bauxite Standard,ROH,007
0000100124,Lead Concentrate Technical Grade,ROH,007
0000100125,Zinc Concentrate Fine,ROH,007
0000100126,Silico Manganese Standard,ROH,007
0000100127,Coke Metallurgical Standard,ROH,007
0000100128,Zinc Concentrate Grade B,ROH,007
0000100129,Dolomite 40-80mm,ROH,007
0000100130,Zinc Concentrate Standard,ROH,007
0000100131,Lead Concentrate Grade A,ROH,007
0000100132,Iron Ore Lumps Grade B,ROH,007
0000100133,Silico Manganese Standard,ROH,007
0000100134,Alumina Calcined 40-80mm,ROH,007
0000100135,Manganese Ore Standard,ROH,007
0000100136,Silico Manganese Premium Grade,ROH,007
0000100137,Dolomite Fine,ROH,007
0000100138,Coke Metallurgical 55% Pb,ROH,007
0000100139,Fluorspar 55% Pb,ROH,008
0000100140,Fluorspar 45% Zn,ROH,008
0000100141,Bauxite Grade B,ROH,008
0000100142,Lead Concentrate 40-80mm,ROH,008
0000100143,Iron Ore Fines Technical Grade,ROH,008
0000100144,Iron Ore Fines 45% Zn,ROH,008
0000100145,Manganese Ore Calcined,ROH,008
0000100146,Zinc Concentrate 40-80mm,ROH,008
0000100147,Limestone 40-80mm,ROH,008
0000100148,Lead Concentrate Grade A,ROH,008
0000100149,Iron Ore Fines Calcined,ROH,008
0000100150,Iron Ore Lumps Fused,ROH,008
0000100151,Lead Concentrate Standard,ROH,008
0000100152,Bauxite Standard,ROH,008
0000100153,Silico Manganese 55% Pb,ROH,008
0000100154,Copper Concentrate 45% Zn,ROH,008
0000100155,Copper Concentrate High Purity,ROH,008
0000100156,Manganese Ore Standard,ROH,008
0000100157,O-Ring 80mm,ERSA,009
0000100158,Pump Impeller 6308-ZZ,ERSA,009
0000100159,Ball Bearing 22220-CCK,ERSA,009
0000100160,V-Belt FAG,ERSA,009
0000100161,Washer Spring 100mm,ERSA,009
0000100162,Flotation Cell Stator DN150,ERSA,009
0000100163,Nut Hex 6308-ZZ,ERSA,009
0000100164,Crusher Liner 40mm,ERSA,009
0000100165,Ball Bearing 40mm,ERSA,009
0000100166,Filter Cartridge 80mm,ERSA,009
0000100167,Gear Box 60mm,ERSA,009
0000100168,Screen Panel NTN,ERSA,009
0000100169,Grinding Ball EP500/3,ERSA,009
0000100170,Grinding Rod 6308-ZZ,ERSA,009
0000100171,Seal Kit High Chrome,ERSA,009
0000100172,Clutch Plate 6308-ZZ,ERSA,009
0000100173,Seal Kit CI,ERSA,009
0000100174,Flotation Cell Stator SS316,ERSA,009
0000100175,Wear Plate FAG,ERSA,009
0000100176,Seal Kit SS316,ERSA,009
0000100177,Gasket Set FAG,ERSA,009
0000100178,O-Ring Chrome,ERSA,009
0000100179,O-Ring Polyurethane,ERSA,009
0000100180,V-Belt 40mm,ERSA,009
0000100181,Pump Shaft Sleeve CI,ERSA,009
0000100182,V-Belt CI,ERSA,009
0000100183,Taper Bearing Chrome,ERSA,009
0000100184,Gasket Set 60mm,ERSA,009
0000100185,Wear Plate EP800/4,ERSA,009
0000100186,Filter Cartridge DN150,ERSA,009
0000100187,Clutch Plate DN200,ERSA,009
0000100188,Filter Cartridge 40mm,ERSA,009
0000100189,Conveyor Belt Polyurethane,ERSA,009
0000100190,Brake Pad 80mm,ERSA,009
0000100191,Clutch Plate 22220-CCK,ERSA,009
0000100192,Ball Bearing 80mm,ERSA,009
0000100193,Pump Impeller 22220-CCK,ERSA,009
0000100194,Grinding Rod SS316,ERSA,009
0000100195,Filter Cartridge NTN,ERSA,009
0000100196,Valve Globe 22220-CCK,ERSA,009
0000100197,V-Belt ST1000,ERSA,009
0000100198,Gear Box FAG,ERSA,009
0000100199,Sprocket CS,ERSA,009
0000100200,Brake Pad Chrome,ERSA,009
0000100201,Wear Plate 6205-2RS,ERSA,009
0000100202,Brake Pad Polyurethane,ERSA,009
0000100203,Pump Impeller NTN,ERSA,009
0000100204,Filter Cartridge SKF,ERSA,009
0000100205,Pump Impeller High Chrome,ERSA,009
0000100206,Conveyor Idler DN300,ERSA,009
0000100207,Gear Box Chrome,ERSA,009
0000100208,Grinding Rod Ni-Hard,ERSA,009
0000100209,Valve Gate DN150,ERSA,009
0000100210,Filter Cartridge SS316,ERSA,009
0000100211,Screen Panel DN300,ERSA,009
0000100212,Seal Kit 22220-CCK,ERSA,009
0000100213,Chain Roller DN300,ERSA,009
0000100214,Taper Bearing 6205-2RS,ERSA,009
0000100215,Valve Gate NTN,ERSA,009
0000100216,Filter Cartridge FAG,ERSA,009
0000100217,Sprocket CS,ERSA,009
0000100218,Chain Roller CS,ERSA,009
0000100219,Ball Bearing SKF,ERSA,009
0000100220,O-Ring Ni-Hard,ERSA,009
0000100221,Conveyor Idler CS,ERSA,009
0000100222,Taper Bearing ST1000,ERSA,009
0000100223,Conveyor Idler 60mm,ERSA,009
0000100224,Conveyor Belt 6308-ZZ,ERSA,009
0000100225,Brake Pad ST1000,ERSA,009
0000100226,Taper Bearing ST1000,ERSA,009
0000100227,Grinding Rod Polyurethane,ERSA,009
0000100228,V-Belt Polyurethane,ERSA,009
0000100229,Pump Impeller ST1000,ERSA,009
0000100230,Washer Spring Chrome,ERSA,009
0000100231,Conveyor Idler DN200,ERSA,009
0000100232,Crusher Liner FAG,ERSA,009
0000100233,Washer Spring 6205-2RS,ERSA,009
0000100234,Jaw Plate High Chrome,ERSA,009
0000100235,Valve Gate 60mm,ERSA,009
0000100236,V-Belt DN300,ERSA,009
0000100237,Crusher Liner Ni-Hard,ERSA,009
0000100238,Pump Impeller 40mm,ERSA,009
0000100239,Taper Bearing 100mm,ERSA,009
0000100240,Motor Coupling DN150,ERSA,009
0000100241,Flotation Cell Rotor ST1000,ERSA,009
0000100242,Brake Pad DN200,ERSA,009
0000100243,Motor Coupling 6205-2RS,ERSA,009
0000100244,Grinding Ball 40mm,ERSA,010
0000100245,Valve Gate DN300,ERSA,010
0000100246,O-Ring DN300,ERSA,010
0000100247,Valve Globe Rubber Lined,ERSA,010
0000100248,Cyclone Liner 40mm,ERSA,010
0000100249,Valve Gate 6205-2RS,ERSA,010
0000100250,Pump Shaft Sleeve DN300,ERSA,010
0000100251,Jaw Plate CI,ERSA,010
0000100252,Filter Cartridge 6308-ZZ,ERSA,010
0000100253,Pump Impeller Chrome,ERSA,010
0000100254,Chain Roller ST1000,ERSA,010
0000100255,Clutch Plate 60mm,ERSA,010
0000100256,Cyclone Liner SKF,ERSA,010
0000100257,Bolt Hex CI,ERSA,010
0000100258,Grinding Ball DN300,ERSA,010
0000100259,Taper Bearing Ni-Hard,ERSA,010
0000100260,Chain Roller 6205-2RS,ERSA,010
0000100261,Wear Plate CS,ERSA,010
0000100262,Grinding Ball ST1000,ERSA,010
0000100263,Chain Roller 22220-CCK,ERSA,010
0000100264,Valve Gate Chrome,ERSA,010
0000100265,Clutch Plate Polyurethane,ERSA,010
0000100266,Pump Shaft Sleeve High Chrome,ERSA,010
0000100267,Brake Pad SS316,ERSA,010
0000100268,Brake Pad Polyurethane,ERSA,010
0000100269,Washer Spring EP800/4,ERSA,010
0000100270,Nut Hex Ni-Hard,ERSA,010
0000100271,Gear Box CS,ERSA,010
0000100272,Conveyor Belt DN150,ERSA,010
0000100273,Washer Spring Polyurethane,ERSA,010
0000100274,Bolt Hex Polyurethane,ERSA,010
0000100275,Jaw Plate Chrome,ERSA,010
0000100276,Brake Pad 40mm,ERSA,010
0000100277,Ball Bearing EP500/3,ERSA,010
0000100278,Gear Box DN150,ERSA,010
0000100279,Chain Roller CI,ERSA,010
0000100280,Clutch Plate 80mm,ERSA,010
0000100281,Sprocket 80mm,ERSA,010
0000100282,Grinding Rod SS316,ERSA,010
0000100283,Flotation Cell Stator High Chrome,ERSA,010
0000100284,Crusher Liner Polyurethane,ERSA,010
0000100285,Gasket Set EP500/3,ERSA,010
0000100286,Cyclone Liner Polyurethane,ERSA,010
0000100287,Valve Gate 22220-CCK,ERSA,010
0000100288,V-Belt Polyurethane,ERSA,010
0000100289,Brake Pad DN200,ERSA,010
0000100290,Grinding Ball NTN,ERSA,010
0000100291,Roller Bearing 6308-ZZ,ERSA,010
0000100292,V-Belt 100mm,ERSA,010
0000100293,O-Ring 80mm,ERSA,010
0000100294,Washer Spring Rubber Lined,ERSA,010
0000100295,Grinding Ball Ni-Hard,ERSA,010
0000100296,Bolt Hex 100mm,ERSA,010
0000100297,Nut Hex DN200,ERSA,010
0000100298,Conveyor Idler Rubber Lined,ERSA,010
0000100299,Ball Bearing SKF,ERSA,010
0000100300,Chain Roller DN200,ERSA,010
0000100301,Jaw Plate Ni-Hard,ERSA,010
0000100302,Wear Plate 80mm,ERSA,010
0000100303,Seal Kit CS,ERSA,010
0000100304,V-Belt SKF,ERSA,010
0000100305,Flotation Cell Rotor NTN,ERSA,010
0000100306,Flotation Cell Rotor Polyurethane,ERSA,010
0000100307,Wear Plate CS,ERSA,010
0000100308,Clutch Plate 80mm,ERSA,010
0000100309,Cyclone Liner 60mm,ERSA,010
0000100310,Sprocket FAG,ERSA,010
0000100311,Flotation Cell Stator 80mm,ERSA,010
0000100312,Filter Cartridge DN200,ERSA,010
0000100313,Hydraulic Hose SS316,ERSA,010
0000100314,Screen Panel Rubber Lined,ERSA,010
0000100315,V-Belt DN300,ERSA,010
0000100316,Sprocket 22220-CCK,ERSA,010
0000100317,Gear Box DN200,ERSA,010
0000100318,Hydraulic Hose EP800/4,ERSA,010
0000100319,Clutch Plate CS,ERSA,010
0000100320,Gasket Set NTN,ERSA,010
0000100321,Conveyor Idler DN200,ERSA,010
0000100322,Bolt Hex Ni-Hard,ERSA,010
0000100323,Conveyor Idler Ni-Hard,ERSA,010
0000100324,Grinding Rod 22220-CCK,ERSA,010
0000100325,Washer Spring EP800/4,ERSA,011
0000100326,Flotation Cell Rotor 60mm,ERSA,011
0000100327,Seal Kit DN150,ERSA,011
0000100328,Washer Spring 40mm,ERSA,011
0000100329,Roller Bearing CI,ERSA,011
0000100330,Bolt Hex 100mm,ERSA,011
0000100331,Ball Bearing ST1000,ERSA,011
0000100332,Brake Pad 40mm,ERSA,011
0000100333,Washer Spring CS,ERSA,011
0000100334,Motor Coupling 100mm,ERSA,011
0000100335,Motor Coupling DN300,ERSA,011
0000100336,Chain Roller 100mm,ERSA,011
0000100337,Roller Bearing 40mm,ERSA,011
0000100338,Valve Gate Polyurethane,ERSA,011
0000100339,Nut Hex High Chrome,ERSA,011
0000100340,Crusher Liner 80mm,ERSA,011
0000100341,Conveyor Belt Chrome,ERSA,011
0000100342,Roller Bearing 40mm,ERSA,011
0000100343,Roller Bearing 22220-CCK,ERSA,011
0000100344,Chain Roller NTN,ERSA,011
0000100345,Flotation Cell Rotor FAG,ERSA,011
0000100346,Seal Kit DN300,ERSA,011
0000100347,Bolt Hex EP800/4,ERSA,011
0000100348,Grinding Rod 80mm,ERSA,011
0000100349,Clutch Plate EP800/4,ERSA,011
0000100350,Bolt Hex DN300,ERSA,011
0000100351,Washer Spring DN300,ERSA,011
0000100352,Gasket Set 100mm,ERSA,011
0000100353,Roller Bearing High Chrome,ERSA,011
0000100354,Seal Kit ST1000,ERSA,011
0000100355,Motor Coupling Rubber Lined,ERSA,011
0000100356,O-Ring Rubber Lined,ERSA,011
0000100357,Taper Bearing 6205-2RS,ERSA,011
0000100358,V-Belt DN150,ERSA,011
0000100359,Roller Bearing Chrome,ERSA,011
0000100360,Conveyor Idler DN200,ERSA,011
0000100361,Conveyor Belt 100mm,ERSA,011
0000100362,Pump Shaft Sleeve CI,ERSA,011
0000100363,Grinding Rod 80mm,ERSA,011
0000100364,Filter Cartridge ST1000,ERSA,011
0000100365,Crusher Liner Chrome,ERSA,011
0000100366,Pump Shaft Sleeve FAG,ERSA,011
0000100367,Brake Pad SKF,ERSA,011
0000100368,Roller Bearing EP500/3,ERSA,011
0000100369,Bolt Hex 40mm,ERSA,011
0000100370,Grinding Ball 22220-CCK,ERSA,011
0000100371,V-Belt SKF,ERSA,011
0000100372,Brake Pad Polyurethane,ERSA,011
0000100373,Pump Shaft Sleeve CI,ERSA,011
0000100374,Taper Bearing ST1000,ERSA,011
0000100375,Chain Roller Polyurethane,ERSA,011
0000100376,Pipe Flange 22220-CCK,ERSA,011
0000100377,Cyclone Liner Rubber Lined,ERSA,011
0000100378,Valve Gate 6205-2RS,ERSA,011
0000100379,Washer Spring 100mm,ERSA,011
0000100380,Pump Impeller 60mm,ERSA,011
0000100381,Pipe Flange Rubber Lined,ERSA,011
0000100382,Flotation Cell Rotor Ni-Hard,ERSA,011
0000100383,Conveyor Idler 60mm,ERSA,011
0000100384,Jaw Plate High Chrome,ERSA,011
0000100385,Wear Plate Rubber Lined,ERSA,011
0000100386,Hydraulic Hose Chrome,ERSA,011
0000100387,Flotation Cell Stator 80mm,ERSA,011
0000100388,Chain Roller High Chrome,ERSA,011
0000100389,Hydraulic Hose EP800/4,ERSA,011
0000100390,V-Belt 22220-CCK,ERSA,011
0000100391,Hydraulic Hose 80mm,ERSA,011
0000100392,V-Belt 80mm,ERSA,011
0000100393,Bolt Hex EP800/4,ERSA,011
0000100394,Roller Bearing 100mm,ERSA,011
0000100395,Clutch Plate FAG,ERSA,011
0000100396,Screen Panel DN150,ERSA,011
0000100397,Valve Globe DN300,ERSA,011
0000100398,Hydraulic Hose Chrome,ERSA,012
0000100399,Hydraulic Hose CS,ERSA,012
0000100400,Ball Bearing SS316,ERSA,012
0000100401,Grinding Ball 22220-CCK,ERSA,012
0000100402,V-Belt High Chrome,ERSA,012
0000100403,Washer Spring 100mm,ERSA,012
0000100404,V-Belt Ni-Hard,ERSA,012
0000100405,Flotation Cell Stator Rubber Lined,ERSA,012
0000100406,Screen Panel 80mm,ERSA,012
0000100407,Roller Bearing 22220-CCK,ERSA,012
0000100408,Gear Box DN200,ERSA,012
0000100409,Nut Hex Ni-Hard,ERSA,012
0000100410,V-Belt EP500/3,ERSA,012
0000100411,Pipe Flange 100mm,ERSA,012
0000100412,Wear Plate ST1000,ERSA,012
0000100413,Chain Roller High Chrome,ERSA,012
0000100414,Valve Gate ST1000,ERSA,012
0000100415,Flotation Cell Rotor DN300,ERSA,012
0000100416,Brake Pad DN300,ERSA,012
0000100417,Motor Coupling SKF,ERSA,012
0000100418,Grinding Ball EP800/4,ERSA,012
0000100419,Pump Shaft Sleeve High Chrome,ERSA,012
0000100420,Jaw Plate DN150,ERSA,012
0000100421,Grinding Rod High Chrome,ERSA,012
0000100422,Flotation Cell Stator DN300,ERSA,012
0000100423,Wear Plate Chrome,ERSA,012
0000100424,Gear Box SKF,ERSA,012
0000100425,Grinding Ball EP500/3,ERSA,012
0000100426,Motor Coupling ST1000,ERSA,012
0000100427,Jaw Plate EP500/3,ERSA,012
0000100428,Ball Bearing Ni-Hard,ERSA,012
0000100429,Conveyor Belt DN300,ERSA,012
0000100430,Taper Bearing 6308-ZZ,ERSA,012
0000100431,Gear Box Ni-Hard,ERSA,012
0000100432,Conveyor Belt Rubber Lined,ERSA,012
0000100433,Screen Panel SKF,ERSA,012
0000100434,Ball Bearing CI,ERSA,012
0000100435,Gear Box 100mm,ERSA,012
0000100436,Flotation Cell Stator 80mm,ERSA,012
0000100437,Valve Gate FAG,ERSA,012
0000100438,Seal Kit DN300,ERSA,012
0000100439,Flotation Cell Stator SKF,ERSA,012
0000100440,O-Ring 40mm,ERSA,012
0000100441,Screen Panel 22220-CCK,ERSA,012
0000100442,Seal Kit NTN,ERSA,012
0000100443,Conveyor Idler CI,ERSA,012
0000100444,Brake Pad 22220-CCK,ERSA,012
0000100445,V-Belt SKF,ERSA,012
0000100446,Washer Spring Chrome,ERSA,012
0000100447,Motor Coupling SS316,ERSA,012
0000100448,Bolt Hex 80mm,ERSA,012
0000100449,Sprocket EP500/3,ERSA,012
0000100450,Chain Roller EP500/3,ERSA,012
0000100451,Seal Kit Chrome,ERSA,012
0000100452,Pump Impeller DN150,ERSA,012
0000100453,Grinding Rod DN300,ERSA,012
0000100454,Gasket Set FAG,ERSA,012
0000100455,V-Belt FAG,ERSA,012
0000100456,O-Ring FAG,ERSA,012
0000100457,Ball Bearing 60mm,ERSA,012
0000100458,Sprocket Ni-Hard,ERSA,012
0000100459,Flotation Cell Stator EP500/3,ERSA,012
0000100460,Taper Bearing DN200,ERSA,012
0000100461,Gear Box Ni-Hard,ERSA,012
0000100462,Gear Box Ni-Hard,ERSA,012
0000100463,Flotation Cell Rotor 22220-CCK,ERSA,012
0000100464,Motor Coupling DN300,ERSA,012
0000100465,Grinding Ball 60mm,ERSA,012
0000100466,Pump Shaft Sleeve CS,ERSA,012
0000100467,Motor Coupling Rubber Lined,ERSA,012
0000100468,Hydraulic Hose NTN,ERSA,013
0000100469,O-Ring 6308-ZZ,ERSA,013
0000100470,Crusher Liner EP500/3,ERSA,013
0000100471,Gear Box 80mm,ERSA,013
0000100472,Pump Shaft Sleeve 80mm,ERSA,013
0000100473,Brake Pad Ni-Hard,ERSA,013
0000100474,Nut Hex DN300,ERSA,013
0000100475,Cyclone Liner CS,ERSA,013
0000100476,Screen Panel 80mm,ERSA,013
0000100477,Gasket Set Chrome,ERSA,013
0000100478,Taper Bearing 60mm,ERSA,013
0000100479,Clutch Plate Chrome,ERSA,013
0000100480,Filter Cartridge 6205-2RS,ERSA,013
0000100481,Gasket Set DN200,ERSA,013
0000100482,Roller Bearing Polyurethane,ERSA,013
0000100483,Hydraulic Hose CI,ERSA,013
0000100484,Taper Bearing FAG,ERSA,013
0000100485,Flotation Cell Stator SS316,ERSA,013
0000100486,Sprocket DN300,ERSA,013
0000100487,Jaw Plate CI,ERSA,013
0000100488,Chain Roller Rubber Lined,ERSA,013
0000100489,Screen Panel 22220-CCK,ERSA,013
0000100490,Flotation Cell Stator ST1000,ERSA,013
0000100491,Washer Spring EP800/4,ERSA,013
0000100492,Clutch Plate Polyurethane,ERSA,013
0000100493,Pump Impeller FAG,ERSA,013
0000100494,Valve Gate 60mm,ERSA,013
0000100495,Screen Panel EP500/3,ERSA,013
0000100496,Nut Hex CS,ERSA,013
0000100497,Taper Bearing 80mm,ERSA,013
0000100498,Gasket Set EP800/4,ERSA,013
0000100499,Filter Cartridge EP800/4,ERSA,013
0000100500,Pump Shaft Sleeve 40mm,ERSA,013
0000100501,Cyclone Liner 6205-2RS,ERSA,013
0000100502,Flotation Cell Rotor 60mm,ERSA,013
0000100503,Seal Kit DN150,ERSA,013
0000100504,Wear Plate ST1000,ERSA,013
0000100505,Screen Panel Rubber Lined,ERSA,013
0000100506,Sprocket 6308-ZZ,ERSA,013
0000100507,Grinding Rod DN300,ERSA,013
0000100508,Conveyor Belt EP500/3,ERSA,013
0000100509,Sprocket Ni-Hard,ERSA,013
0000100510,Screen Panel SKF,ERSA,013
0000100511,Roller Bearing Rubber Lined,ERSA,013
0000100512,V-Belt Ni-Hard,ERSA,013
0000100513,Crusher Liner EP500/3,ERSA,013
0000100514,Ball Bearing CS,ERSA,013
0000100515,Washer Spring 22220-CCK,ERSA,013
0000100516,Motor Coupling SKF,ERSA,013
0000100517,Flotation Cell Rotor SKF,ERSA,013
0000100518,Conveyor Idler 100mm,ERSA,013
0000100519,Gear Box SS316,ERSA,013
0000100520,Hydraulic Hose 60mm,ERSA,013
0000100521,Flotation Cell Stator 100mm,ERSA,013
0000100522,V-Belt 80mm,ERSA,013
0000100523,Conveyor Idler 40mm,ERSA,013
0000100524,Grinding Ball Chrome,ERSA,013
0000100525,Cyclone Liner High Chrome,ERSA,013
0000100526,Conveyor Belt 22220-CCK,ERSA,013
0000100527,Hydraulic Hose 60mm,ERSA,013
0000100528,Valve Gate SS316,ERSA,013
0000100529,Hydraulic Hose 6205-2RS,ERSA,013
0000100530,Gear Box High Chrome,ERSA,013
0000100531,Brake Pad CI,ERSA,013
0000100532,Screen Panel NTN,ERSA,014
0000100533,Sprocket CS,ERSA,014
0000100534,Flotation Cell Stator ST1000,ERSA,014
0000100535,Valve Gate CS,ERSA,014
0000100536,Bolt Hex 80mm,ERSA,014
0000100537,Clutch Plate DN150,ERSA,014
0000100538,V-Belt CI,ERSA,014
0000100539,Bolt Hex DN200,ERSA,014
0000100540,Washer Spring 6308-ZZ,ERSA,014
0000100541,Clutch Plate High Chrome,ERSA,014
0000100542,Flotation Cell Stator Ni-Hard,ERSA,014
0000100543,Bolt Hex 40mm,ERSA,014
0000100544,Conveyor Idler 100mm,ERSA,014
0000100545,Taper Bearing NTN,ERSA,014
0000100546,Cyclone Liner CI,ERSA,014
0000100547,Valve Gate SKF,ERSA,014
0000100548,Sprocket SKF,ERSA,014
0000100549,Wear Plate 80mm,ERSA,014
0000100550,Ball Bearing High Chrome,ERSA,014
0000100551,Conveyor Idler 60mm,ERSA,014
0000100552,Conveyor Idler 22220-CCK,ERSA,014
0000100553,Flotation Cell Stator DN300,ERSA,014
0000100554,Valve Gate Chrome,ERSA,014
0000100555,Nut Hex Rubber Lined,ERSA,014
0000100556,Gasket Set EP800/4,ERSA,014
0000100557,Bolt Hex EP800/4,ERSA,014
0000100558,Screen Panel CS,ERSA,014
0000100559,Taper Bearing Chrome,ERSA,014
0000100560,O-Ring DN200,ERSA,014
0000100561,Gear Box DN200,ERSA,014
0000100562,Gasket Set 60mm,ERSA,014
0000100563,Pump Impeller Rubber Lined,ERSA,014
0000100564,Pump Impeller 80mm,ERSA,014
0000100565,Crusher Liner Ni-Hard,ERSA,014
0000100566,Brake Pad 6205-2RS,ERSA,014
0000100567,Taper Bearing EP800/4,ERSA,014
0000100568,Seal Kit EP500/3,ERSA,014
0000100569,Valve Globe ST1000,ERSA,014
0000100570,Chain Roller NTN,ERSA,014
0000100571,V-Belt SS316,ERSA,014
0000100572,Washer Spring CI,ERSA,014
0000100573,Jaw Plate FAG,ERSA,014
0000100574,Jaw Plate 22220-CCK,ERSA,014
0000100575,Bolt Hex Chrome,ERSA,014
0000100576,V-Belt 100mm,ERSA,014
0000100577,Conveyor Idler DN200,ERSA,014
