contract_number,vendor_id,category_code,plant_code,start_date,end_date,contract_value_inr,is_active
4600000032,0000013470,011,6600,2024-08-15,2027-08-15,21566647.43,True
4600000033,0000014385,029,5500,2023-08-20,2024-08-19,2089513.08,False
4600000034,0000012966,009,5500,2023-08-19,2026-08-18,27930.12,True
4600000035,0000013336,051,2200,2024-07-15,2025-07-15,11335346.31,False
4600000036,0000014570,051,1100,2023-01-02,2024-01-02,100772437.1,False
4600000037,0000012601,016,4400,2024-07-23,2026-07-23,19636011.4,True
4600000038,0000013140,010,5500,2024-02-29,2026-02-28,8734711.22,True
4600000039,0000012647,016,6600,2023-05-07,2025-05-06,15862965.16,False
4600000040,0000012692,041,3300,2023-08-23,2026-08-22,109114785.1,True
4600000041,0000012364,061,7700,2023-10-12,2026-10-11,28435071.6,True
4600000042,0000015075,010,4400,2023-02-22,2025-02-21,136352.5,False
4600000043,0000013694,011,6600,2024-05-08,2026-05-08,5777694.93,True
4600000044,0000014548,043,7700,2023-01-31,2026-01-30,3803640.67,True
4600000045,0000012348,009,7700,2024-02-21,2026-02-20,9219288.99,True
4600000046,0000014661,038,4400,2023-11-26,2024-11-25,2046686.18,False
4600000047,0000013995,040,5500,2023-05-18,2024-05-17,22114016.41,False
4600000048,0000012826,048,4400,2024-05-14,2025-05-14,17125126.27,False
4600000049,0000012506,002,6600,2024-08-29,2025-08-29,1223549234.52,False
4600000050,0000013285,007,5500,2023-08-26,2024-08-25,53456049.89,False
4600000051,0000014677,041,1100,2024-03-18,2027-03-18,91536939.35,True
4600000052,0000013840,017,6600,2024-10-18,2026-10-18,36886228.15,True
4600000053,0000012753,048,4400,2024-06-13,2025-06-13,165779.8,False
4600000054,0000014672,025,4400,2023-04-18,2024-04-17,89372155.68,False
4600000055,0000013726,032,3300,2024-02-02,2025-02-01,212538382.97,False
4600000056,0000014615,010,4400,2023-08-31,2024-08-30,2334546.94,False
4600000057,0000012914,036,4400,2023-11-29,2026-11-28,261236499.62,True
4600000058,0000013024,055,2200,2024-03-19,2026-03-19,15794126.13,True
4600000059,0000014411,010,7700,2023-08-28,2026-08-27,61859.74,True
4600000060,0000014806,031,6600,2024-01-25,2025-01-24,195159133.1,False
4600000061,0000013568,040,1100,2023-05-08,2024-05-07,5194613.59,False
4600000062,0000014760,046,3300,2024-04-18,2026-04-18,76152418.38,True
4600000063,0000012373,053,5500,2024-07-15,2027-07-15,65211.87,True
4600000064,0000012915,009,3300,2023-11-16,2026-11-15,1563870.14,True
4600000065,0000014020,071,6600,2024-08-15,2027-08-15,2344625.36,True
4600000066,0000014686,010,4400,2024-08-08,2025-08-08,19563210.4,False
4600000067,0000014140,010,3300,2023-01-05,2025-01-04,49647.92,False
4600000068,0000013780,018,3300,2023-10-28,2024-10-27,95303.4,False
4600000069,0000014027,074,1100,2024-04-09,2026-04-09,245818.35,True
4600000070,0000012692,048,4400,2023-09-15,2024-09-14,2023632.54,False
4600000071,0000014369,026,7700,2023-10-07,2024-10-06,136177479.74,False
4600000072,0000014971,050,7700,2024-04-28,2027-04-28,9139839.49,True
4600000073,0000014360,017,5500,2024-10-22,2025-10-22,10028490.68,False
4600000074,0000012915,073,4400,2024-05-11,2027-05-11,9794989.49,True
4600000075,0000014172,029,6600,2023-02-06,2026-02-05,81020374.81,True
4600000076,0000014051,036,3300,2023-11-05,2026-11-04,65922692.36,True
4600000077,0000014138,058,1100,2024-11-24,2026-11-24,868106480.23,True
4600000078,0000012527,003,6600,2024-07-19,2026-07-19,905781794.32,True
4600000079,0000014938,072,6600,2024-04-28,2025-04-28,127978.95,False
4600000080,0000012902,016,7700,2024-04-05,2025-04-05,1005677.25,False
4600000081,0000014527,054,5500,2024-01-12,2027-01-11,5416741.88,True
4600000082,0000014652,023,4400,2023-11-13,2024-11-12,2172558206.15,False
4600000083,0000012646,063,1100,2024-01-31,2027-01-30,167202963.39,True
4600000084,0000014106,050,6600,2024-07-28,2025-07-28,780087.49,False
4600000085,0000014677,016,4400,2023-06-19,2024-06-18,129712.29,False
4600000086,0000014186,060,5500,2023-03-24,2024-03-23,694822012.36,False
4600000087,0000012915,009,6600,2024-08-04,2026-08-04,175977.81,True
4600000088,0000014951,046,6600,2024-10-09,2026-10-09,8584785.17,True
4600000089,0000013709,039,4400,2024-11-05,2025-11-05,1975165.09,False
4600000090,0000012419,043,3300,2023-12-11,2025-12-10,65044318.74,False
4600000091,0000013709,039,1100,2023-11-02,2025-11-01,96101723.85,False
4600000092,0000014411,054,3300,2023-01-27,2024-01-27,15935111.11,False
4600000093,0000013470,011,7700,2023-02-27,2025-02-26,3658608.43,False
4600000094,0000013385,071,7700,2024-10-09,2027-10-09,1439841.06,True
4600000095,0000013241,026,3300,2024-01-19,2025-01-18,191860777.3,False
4600000096,0000015057,063,4400,2024-01-31,2026-01-30,5441065.9,True
4600000097,0000013279,043,5500,2023-10-18,2025-10-17,14689655.65,False
4600000098,0000013022,003,6600,2024-01-28,2025-01-27,9909906.68,False
4600000099,0000014138,045,5500,2024-05-07,2026-05-07,1571725.36,True
4600000100,0000014913,044,5500,2023-08-23,2024-08-22,466392.0,False
4600000101,0000014171,053,1100,2024-05-09,2027-05-09,75947842.92,True
4600000102,0000013646,053,3300,2023-07-06,2025-07-05,1327085.27,False
4600000103,0000015006,072,2200,2023-06-12,2024-06-11,1905073.63,False
4600000104,0000014898,055,2200,2024-06-17,2027-06-17,271466.31,True
4600000105,0000012692,048,5500,2024-09-03,2026-09-03,388284.1,True
4600000106,0000014041,049,3300,2023-07-08,2024-07-07,39610122.78,False
4600000107,0000012419,043,5500,2023-09-15,2026-09-14,62786009.86,True
4600000108,0000013082,027,7700,2023-02-21,2024-02-21,107067319.53,False
4600000109,0000014666,010,7700,2024-02-24,2027-02-23,746317.39,True
4600000110,0000013047,055,5500,2024-06-11,2026-06-11,2874717.95,True
4600000111,0000012979,066,4400,2023-02-07,2026-02-06,44910855.56,True
4600000112,0000013481,062,7700,2023-06-13,2025-06-12,9889334.19,False
4600000113,0000012470,008,6600,2023-08-12,2025-08-11,586260267.3,False
4600000114,0000013415,027,5500,2023-01-14,2026-01-13,324111969.8,True
4600000115,0000013186,051,6600,2023-04-17,2026-04-16,6324312.46,True
4600000116,0000012348,074,1100,2024-08-12,2027-08-12,193341.04,True
4600000117,0000013005,028,2200,2024-10-04,2027-10-04,14776544.81,True
4600000118,0000014394,048,7700,2023-04-20,2025-04-19,20471048.53,False
4600000119,0000012955,016,3300,2024-05-05,2026-05-05,835471.3,True
4600000120,0000014655,054,7700,2024-06-27,2027-06-27,28879.09,True
4600000121,0000014942,073,4400,2024-05-02,2027-05-02,3920809.88,True
4600000122,0000012876,027,7700,2023-02-06,2026-02-05,8217881.72,True
4600000123,0000013537,049,7700,2023-11-22,2025-11-21,58845511.93,False
4600000124,0000014527,051,1100,2023-01-16,2025-01-15,62264905.35,False
4600000125,0000014163,003,5500,2024-02-03,2026-02-02,67297175.54,True
4600000126,0000013929,050,7700,2023-08-20,2025-08-19,2320825.72,False
4600000127,0000013302,074,1100,2023-06-16,2025-06-15,149514.24,False
4600000128,0000013844,016,6600,2024-05-19,2027-05-19,3051104.12,True
4600000129,0000013631,039,7700,2023-06-19,2025-06-18,346802547.27,False
4600000130,0000012692,009,6600,2024-08-18,2027-08-18,153956.93,True
4600000131,0000013084,068,2200,2024-01-04,2026-01-03,2036907.32,True
4600000132,0000012902,073,7700,2023-03-20,2025-03-19,7958.54,False
4600000133,0000013360,050,4400,2024-08-17,2025-08-17,71966.23,False
4600000134,0000013140,057,6600,2023-02-09,2025-02-08,3085750.45,False
4600000135,0000012786,050,5500,2023-10-25,2026-10-24,1548340.03,True
4600000136,0000014360,017,3300,2023-01-25,2025-01-24,378276.1,False
4600000137,0000012915,048,6600,2024-01-20,2027-01-19,277921.75,True
4600000138,0000013086,048,5500,2023-12-24,2024-12-23,17211244.95,False
4600000139,0000013405,071,3300,2024-11-27,2025-11-27,2606177.95,False
4600000140,0000014020,062,4400,2024-06-16,2026-06-16,116430274.26,True
4600000141,0000013780,018,4400,2024-09-28,2026-09-28,4774537.07,True
4600000142,0000015057,029,5500,2023-02-05,2024-02-05,1881731.57,False
4600000143,0000013031,004,4400,2023-04-20,2025-04-19,725887218.21,False
4600000144,0000012421,037,2200,2023-12-03,2026-12-02,338291.86,True
4600000145,0000014845,055,1100,2024-01-17,2027-01-16,30696.46,True
4600000146,0000013681,060,3300,2024-02-28,2027-02-27,1108347.77,True
4600000147,0000013396,071,1100,2024-02-10,2026-02-09,19665.64,True
4600000148,0000013615,061,6600,2023-09-18,2024-09-17,116741892.68,False
4600000149,0000014331,033,6600,2024-02-15,2026-02-14,1105674458.49,True
4600000150,0000012354,009,5500,2024-01-24,2025-01-23,33454630.37,False
4600000151,0000013188,051,6600,2023-05-15,2026-05-14,39192584.05,True
4600000152,0000012876,074,7700,2024-06-01,2026-06-01,1305428.53,True
4600000153,0000013140,057,1100,2023-03-03,2026-03-02,3406527.42,True
4600000154,0000012902,057,4400,2023-09-23,2024-09-22,7043703.72,False
4600000155,0000014020,016,6600,2024-01-07,2027-01-06,2250091.88,True
4600000156,0000013685,061,6600,2024-05-30,2025-05-30,30329624.29,False
4600000157,0000013071,074,4400,2023-11-12,2025-11-11,1478987.53,False
4600000158,0000014741,010,7700,2023-07-02,2026-07-01,10448474.3,True
4600000159,0000012348,039,1100,2023-09-25,2024-09-24,716714062.42,False
4600000160,0000013385,038,5500,2023-09-05,2024-09-04,9671094.04,False
4600000161,0000013537,049,3300,2024-10-13,2027-10-13,48409237.06,True
4600000162,0000012572,040,2200,2024-02-16,2026-02-15,15010077.85,True
4600000163,0000013247,070,5500,2023-06-02,2025-06-01,59078548.11,False
4600000164,0000014418,057,4400,2023-11-20,2024-11-19,10371058.63,False
4600000165,0000014400,042,5500,2024-05-17,2025-05-17,1059315.55,False
4600000166,0000012666,028,7700,2024-11-25,2025-11-25,37523283.77,False
4600000167,0000013395,026,3300,2024-09-15,2026-09-15,9724638.96,True
4600000168,0000014646,048,5500,2024-02-21,2026-02-20,37493613.85,True
4600000169,0000012955,054,7700,2024-01-08,2025-01-07,4943120.29,False
4600000170,0000012601,016,3300,2023-01-09,2025-01-08,7859000.6,False
4600000171,0000014956,027,1100,2024-10-03,2027-10-03,3203744.39,True
4600000172,0000013186,037,7700,2024-10-26,2026-10-26,131770636.73,True
4600000173,0000012369,061,1100,2023-06-09,2024-06-08,48224984.97,False
4600000174,0000014354,044,5500,2023-10-24,2025-10-23,20605735.16,False
4600000175,0000013200,016,6600,2023-05-10,2024-05-09,27853576.61,False
4600000176,0000012935,074,1100,2024-11-06,2027-11-06,194020.29,True
4600000177,0000014208,055,2200,2024-11-26,2025-11-26,128269.55,False
4600000178,0000013428,041,5500,2024-02-28,2025-02-27,239445603.07,False
4600000179,0000012348,074,7700,2024-08-08,2027-08-08,2857496.21,True
4600000180,0000012876,073,4400,2024-11-04,2026-11-04,342849.81,True
4600000181,0000012718,074,7700,2024-10-15,2027-10-15,2663788.35,True
4600000182,0000013186,037,4400,2024-03-09,2025-03-09,27315533.82,False
4600000183,0000014755,010,4400,2024-02-18,2025-02-17,299839.26,False
4600000184,0000015046,068,2200,2024-09-16,2026-09-16,45467055.01,True
4600000185,0000012473,074,7700,2023-03-13,2024-03-12,2419376.51,False
4600000186,0000013302,043,6600,2023-01-10,2024-01-10,8984929.72,False
4600000187,0000013501,035,6600,2024-04-13,2026-04-13,1995517660.57,True
4600000188,0000012516,060,4400,2023-06-13,2024-06-12,4554812.7,False
4600000189,0000014283,045,1100,2023-08-15,2026-08-14,855770.67,True
4600000190,0000014400,042,7700,2024-02-05,2026-02-04,681758.34,True
4600000191,0000012601,016,7700,2024-06-23,2025-06-23,383717.96,False
4600000192,0000013501,035,4400,2024-04-09,2025-04-09,1265670974.15,False
4600000193,0000013107,046,6600,2023-05-05,2024-05-04,30140565.09,False
4600000194,0000012630,016,4400,2024-01-13,2027-01-12,2191807.36,True
4600000195,0000012692,073,4400,2023-02-24,2025-02-23,1042208.71,False
4600000196,0000015083,027,1100,2024-04-27,2027-04-27,36077045.11,True
4600000197,0000014415,051,6600,2023-01-06,2025-01-05,98981899.2,False
4600000198,0000014783,038,6600,2023-04-30,2025-04-29,982326.43,False
4600000199,0000014866,072,7700,2024-03-01,2026-03-01,26224.99,True
4600000200,0000013972,031,2200,2023-06-25,2025-06-24,380099521.55,False
