supplierId,supplierName,category,segment,poCount,avgPOValue,totalSpend,microPOCount,processingCost,potentialSavings,consolidationScore,recommendedAction,invoiceCount,plantCount,categoryCount,productCount,costCenterCount
SUP-2005,Krishna Civil Contractors,"Civil, Structural & Construction",Core,39,410000,15990000,,,,,,39,2,1,18,4
SUP-2006,Reliable Freight Carriers,"Logistics, Freight & Handling",Core,58,195000,11310000,,,,,,,,,,
SUP-2007,Apex Instrumentation Co.,Electrical & Instrumentation Spares,Core,44,260000,11440000,,,,,,44,2,1,22,4
SUP-2008,National Mining Spares,Mining Equipment Spares,Core,37,340000,12580000,,,,,,,,,,
SUP-2009,Vardhman Structural Works,"Civil, Structural & Construction",Core,33,385000,12705000,,,,,,,,,,
SUP-2010,Orient Chemical Industries,Chemicals & Reagents,Core,29,295000,8555000,,,,,,,,,,
SUP-3001,Larsen Heavy Equipment Ltd.,Capital Equipment & Capex Contracts,Strategic,12,42500000,510000000,,,,,,58,6,3,142,12
SUP-3002,Vedanta EPC Partners,Capital Equipment & Capex Contracts,Strategic,9,38200000,343800000,,,,,,44,4,2,96,9
SUP-3003,Continental Mining Systems,Mining Equipment Spares,Strategic,18,21400000,385200000,,,,,,71,5,2,118,10
SUP-3004,TransIndia Bulk Logistics,"Logistics, Freight & Handling",Strategic,26,12800000,332800000,,,,,,96,8,1,34,14
SUP-3005,Apex Civil & Infra Ltd.,"Civil, Structural & Construction",Strategic,15,18600000,279000000,,,,,,39,3,1,27,6
SUP-3006,Global Process Chemicals,Chemicals & Reagents,Strategic,21,9200000,193200000,,,,,,54,4,2,61,7
SUP-1035,Sanman Traders (Alt Site),Safety & PPE,Tail,108,9800,1058400,85,540000,324000,89,Consolidate,,,,,
